User	Question 1	Question 2	Question 3	Question 4	Question 5	Identifier
Default	Air	Air	Air	Air	Air	Air
fneathway0	Air	Air	Air	Air	Air	Air
ogabbetis1	Air	Air	Fire	Water	Air	Air
wastling2	Water	Air	Water	Air	Fire	Air
jrickword3	Fire	Air	Fire	Water	Air	Air
mgiacovetti4	Air	Fire	Water	Water	Air	Air
mdan5	Water	Air	Air	Fire	Water	Air
hhadcock6	Fire	Air	Earth	Water	Fire	Air
kkitcher7	Water	Air	Water	Fire	Water	Air
spariso8	Earth	Air	Air	Fire	Air	Air
cpennycord9	Earth	Water	Water	Fire	Air	Air
fanfonsia	Air	Earth	Earth	Water	Air	Air
apfefferb	Air	Air	Water	Fire	Air	Air
aklaasc	Earth	Water	Earth	Earth	Air	Air
ksandelandd	Water	Water	Earth	Fire	Water	Air
gelmare	Air	Earth	Air	Air	Earth	Air
gbenazetf	Earth	Water	Air	Fire	Earth	Air
jtidballg	Air	Water	Air	Earth	Air	Air
bsloath	Air	Earth	Air	Air	Water	Air
fallinsoni	Water	Air	Air	Fire	Earth	Air
jtrethowanj	Fire	Fire	Air	Earth	Air	Air
aamerighik	Fire	Air	Air	Earth	Earth	Air
iguietl	Air	Air	Air	Air	Water	Air
fmattiessenm	Earth	Air	Water	Air	Water	Air
tkillerbyn	Water	Earth	Earth	Fire	Water	Air
lromanino	Fire	Fire	Earth	Fire	Earth	Air
sfransmanp	Earth	Air	Fire	Air	Water	Air
icloonanq	Water	Fire	Earth	Earth	Fire	Air
agilmartinr	Earth	Fire	Water	Water	Earth	Air
rsomerbells	Fire	Air	Earth	Air	Water	Air
stidboldt	Air	Water	Earth	Earth	Earth	Air
nmaultu	Water	Fire	Fire	Water	Air	Air
eluchelliv	Water	Earth	Water	Water	Air	Air
gvasyukhnovw	Fire	Earth	Earth	Fire	Air	Air
cmarshmanx	Air	Air	Air	Air	Air	Air
gcaseyy	Air	Air	Air	Air	Air	Air
ddastz	Air	Air	Fire	Air	Air	Air
amarchbank10	Air	Air	Earth	Water	Air	Air
fwhicher11	Air	Air	Fire	Air	Air	Air
psone12	Air	Air	Air	Air	Air	Air
mcapeloff13	Air	Air	Water	Water	Air	Air
ehasson14	Air	Air	Earth	Air	Air	Air
ogrealish15	Air	Air	Water	Water	Air	Air
ldeviney16	Air	Fire	Earth	Air	Earth	Air
lallsobrook17	Air	Air	Earth	Water	Earth	Air
hasher18	Fire	Water	Air	Fire	Air	Air
rziebart19	Air	Earth	Air	Fire	Water	Air
dlochhead1a	Water	Air	Air	Water	Air	Air
bwaterhous1b	Earth	Water	Air	Water	Water	Air
nturnock1c	Water	Air	Air	Earth	Air	Air
