User	Question 1	Question 2	Question 3	Question 4	Question 5	Identifier
Zuko	Fire	Fire	Fire	Fire	Fire	Fire
GeorgiaPeach	Air	Earth	Water	Fire	Air	Fire
Carl Fuego	Fire	Earth	Fire	Air	Fire	Fire
John C	Fire	Earth	Fire	Fire	Fire	Fire
Fredward	Fire	Water	Fire	Fire	Earth	Fire
FlameLord	Fire	Fire	Water	Fire	Fire	Fire
Gary	Earth	Fire	Earth	Fire	Fire	Fire
acadamy0	Fire	Water	Air	Fire	Fire	Fire
lmurkitt1	Earth	Air	Fire	Water	Water	Fire
sbrauninger2	Air	Air	Air	Earth	Fire	Fire
tcurd3	Earth	Earth	Fire	Fire	Water	Fire
vastridge4	Fire	Water	Water	Water	Fire	Fire
bcrosthwaite5	Water	Earth	Air	Air	Water	Fire
aparris6	Water	Fire	Air	Fire	Fire	Fire
rjennaroy7	Earth	Water	Fire	Fire	Fire	Fire
chairesnape8	Fire	Fire	Earth	Fire	Fire	Fire
agoaley9	Water	Water	Fire	Air	Air	Fire
jearpa	Fire	Earth	Water	Water	Fire	Fire
vlittlerb	Fire	Fire	Water	Fire	Water	Fire
npaultonc	Fire	Fire	Earth	Water	Fire	Fire
rorgand	Fire	Water	Fire	Air	Air	Fire
wchinnocke	Fire	Earth	Earth	Air	Air	Fire
rhairsnapef	Air	Earth	Air	Air	Water	Fire
lrumboldg	Water	Fire	Water	Water	Fire	Fire
akernesh	Air	Fire	Water	Water	Fire	Fire
trembaudi	Water	Fire	Fire	Water	Fire	Fire
rconnj	Air	Fire	Water	Air	Fire	Fire
pszimonik	Earth	Water	Fire	Water	Fire	Fire
kroncellil	Fire	Fire	Fire	Earth	Fire	Fire
tandrim	Air	Water	Air	Water	Air	Fire
hpichen	Fire	Fire	Earth	Earth	Fire	Fire
ibuxyo	Fire	Earth	Water	Water	Fire	Fire
jdinjesp	Water	Air	Fire	Air	Water	Fire
gpolleq	Water	Air	Fire	Fire	Earth	Fire
tlomasneyr	Water	Air	Fire	Air	Earth	Fire
stomczykiewiczs	Water	Earth	Fire	Fire	Earth	Fire
sdronsfieldt	Earth	Water	Earth	Fire	Fire	Fire
mhoffmanu	Air	Earth	Water	Fire	Air	Fire
gdriffieldv	Earth	Fire	Water	Air	Earth	Fire
tgablerw	Air	Fire	Air	Fire	Fire	Fire
ehayseyx	Fire	Fire	Earth	Fire	Fire	Fire
mporkery	Fire	Fire	Fire	Water	Earth	Fire
kbunneyz	Air	Earth	Water	Air	Water	Fire
cyeld10	Air	Air	Air	Water	Water	Fire
fdabner11	Earth	Water	Water	Air	Air	Fire
inorthill12	Water	Earth	Earth	Earth	Fire	Fire
lblackmore13	Air	Air	Water	Fire	Fire	Fire
dkynoch14	Earth	Earth	Water	Earth	Fire	Fire
rmckellar15	Water	Water	Fire	Fire	Water	Fire
hcoghlan16	Water	Fire	Air	Fire	Fire	Fire
