User,Question 1,Question 2,Question 3,Question 4,Question 5,Identifier
Katara,Water,Water,Water,Water,Water,Water
Dee,Water,Air,Water,Earth,Water,Water
SharkBoy,Water,Water,Air,Water,Water,Water
TheDeep,Water,Water,Water,Water,Air,Water
MermaidMan,Water,Water,Water,Air,Water,Water
BarnacleBoy,Earth,Water,Air,Fire,Water,Water
Bernard,Water,Fire,Water,Water,Water,Water
Tina,Water,Water,Air,Air,Water,Water
Gertrud,Fire,Water,Water,Earth,Water,Water
Gina,Air,Water,Fire,Water,Water,Water
Millard,Earth,Earth,Water,Water,Water,Water
Lactose,Water,Water,Fire,Water,Water,Water
PolarIceCaps,Air,Earth,Water,Water,Water,Water
WaterIsWet,Water,Water,Water,Fire,Water,Water
Horace,Water,Water,Water,Water,Water,Water
Vance,Water,Water,Water,Water,Water,Water
Lima,Water,Water,Water,Water,Water,Water
Peru,Water,Air,Water,Water,Water,Water
Godrey,Water,Water,Water,Water,Water,Water
Malf,Water,Water,Water,Water,Water,Water
Looker,Water,Fire,Water,Water,Water,Water
Point,Water,Water,Water,Water,Water,Water
Slipup,Water,Water,Water,Water,Water,Water
Toxic,Water,Water,Water,Water,Water,Water
Super,Water,Earth,Water,Water,Water,Water
Hip,Earth,Water,Water,Water,Water,Water
GammaRay,Water,Water,Water,Air,Water,Water
Blizzard,Air,Water,Water,Water,Water,Water
IceTea,Water,Air,Water,Water,Water,Water
Zimmer,Water,Air,Water,Water,Water,Water
ColdHeart,Water,Water,Water,Water,Water,Water
GimmeDat,Water,Water,Water,Water,Water,Water
Upshot,Water,Water,Water,Water,Water,Water
Homelander,Water,Water,Water,Water,Water,Water
Stimulated,Water,Water,Water,Water,Water,Water
IsolateFish,Water,Water,Water,Water,Water,Water
MishapChaos,Water,Water,Water,Water,Water,Water
Typhoon,Water,Water,Water,Water,Water,Water
Rapture,Water,Water,Water,Water,Water,Water
Flower,Fire,Water,Water,Fire,Water,Water
Sunshine,Water,Water,Water,Water,Water,Water
Paraguay,Water,Water,Water,Water,Water,Water
NinaT,Water,Water,Earth,Water,Water,Water
GallopingGoodness,Water,Water,Water,Water,Water,Water
Rover,Fire,Water,Water,Water,Air,Water
Clifford,Water,Air,Water,Water,Water,Water
Hero,Water,Water,Water,Water,Water,Water
Malice,Water,Earth,Fire,Air,Water,Water
Typewriter,Water,Water,Air,Earth,Water,Water
Ghost,Water,Water,Water,Water,Water,Water
